file_no,machine,model,anomaly,file_name,file_rel_path,duration_s,fs_Hz,SNR_dB
47,fan,0,1,00000047.wav,6_dB_fan\fan\id_00\abnormal\00000047.wav,10.0,16000,6
48,fan,0,1,00000048.wav,6_dB_fan\fan\id_00\abnormal\00000048.wav,10.0,16000,6
49,fan,0,1,00000049.wav,6_dB_fan\fan\id_00\abnormal\00000049.wav,10.0,16000,6
50,fan,0,1,00000050.wav,6_dB_fan\fan\id_00\abnormal\00000050.wav,10.0,16000,6
51,fan,0,1,00000051.wav,6_dB_fan\fan\id_00\abnormal\00000051.wav,10.0,16000,6
52,fan,0,1,00000052.wav,6_dB_fan\fan\id_00\abnormal\00000052.wav,10.0,16000,6
53,fan,0,1,00000053.wav,6_dB_fan\fan\id_00\abnormal\00000053.wav,10.0,16000,6
54,fan,0,1,00000054.wav,6_dB_fan\fan\id_00\abnormal\00000054.wav,10.0,16000,6
55,fan,0,1,00000055.wav,6_dB_fan\fan\id_00\abnormal\00000055.wav,10.0,16000,6
56,fan,0,1,00000056.wav,6_dB_fan\fan\id_00\abnormal\00000056.wav,10.0,16000,6
57,fan,0,1,00000057.wav,6_dB_fan\fan\id_00\abnormal\00000057.wav,10.0,16000,6
58,fan,0,1,00000058.wav,6_dB_fan\fan\id_00\abnormal\00000058.wav,10.0,16000,6
59,fan,0,1,00000059.wav,6_dB_fan\fan\id_00\abnormal\00000059.wav,10.0,16000,6
60,fan,0,1,00000060.wav,6_dB_fan\fan\id_00\abnormal\00000060.wav,10.0,16000,6
61,fan,0,1,00000061.wav,6_dB_fan\fan\id_00\abnormal\00000061.wav,10.0,16000,6
62,fan,0,1,00000062.wav,6_dB_fan\fan\id_00\abnormal\00000062.wav,10.0,16000,6
63,fan,0,1,00000063.wav,6_dB_fan\fan\id_00\abnormal\00000063.wav,10.0,16000,6
64,fan,0,1,00000064.wav,6_dB_fan\fan\id_00\abnormal\00000064.wav,10.0,16000,6
65,fan,0,1,00000065.wav,6_dB_fan\fan\id_00\abnormal\00000065.wav,10.0,16000,6
66,fan,0,1,00000066.wav,6_dB_fan\fan\id_00\abnormal\00000066.wav,10.0,16000,6
67,fan,0,1,00000067.wav,6_dB_fan\fan\id_00\abnormal\00000067.wav,10.0,16000,6
68,fan,0,1,00000068.wav,6_dB_fan\fan\id_00\abnormal\00000068.wav,10.0,16000,6
69,fan,0,1,00000069.wav,6_dB_fan\fan\id_00\abnormal\00000069.wav,10.0,16000,6
70,fan,0,1,00000070.wav,6_dB_fan\fan\id_00\abnormal\00000070.wav,10.0,16000,6
71,fan,0,1,00000071.wav,6_dB_fan\fan\id_00\abnormal\00000071.wav,10.0,16000,6
72,fan,0,1,00000072.wav,6_dB_fan\fan\id_00\abnormal\00000072.wav,10.0,16000,6
73,fan,0,1,00000073.wav,6_dB_fan\fan\id_00\abnormal\00000073.wav,10.0,16000,6
74,fan,0,1,00000074.wav,6_dB_fan\fan\id_00\abnormal\00000074.wav,10.0,16000,6
75,fan,0,1,00000075.wav,6_dB_fan\fan\id_00\abnormal\00000075.wav,10.0,16000,6
76,fan,0,1,00000076.wav,6_dB_fan\fan\id_00\abnormal\00000076.wav,10.0,16000,6
77,fan,0,1,00000077.wav,6_dB_fan\fan\id_00\abnormal\00000077.wav,10.0,16000,6
78,fan,0,1,00000078.wav,6_dB_fan\fan\id_00\abnormal\00000078.wav,10.0,16000,6
79,fan,0,1,00000079.wav,6_dB_fan\fan\id_00\abnormal\00000079.wav,10.0,16000,6
80,fan,0,1,00000080.wav,6_dB_fan\fan\id_00\abnormal\00000080.wav,10.0,16000,6
81,fan,0,1,00000081.wav,6_dB_fan\fan\id_00\abnormal\00000081.wav,10.0,16000,6
82,fan,0,1,00000082.wav,6_dB_fan\fan\id_00\abnormal\00000082.wav,10.0,16000,6
83,fan,0,1,00000083.wav,6_dB_fan\fan\id_00\abnormal\00000083.wav,10.0,16000,6
84,fan,0,1,00000084.wav,6_dB_fan\fan\id_00\abnormal\00000084.wav,10.0,16000,6
85,fan,0,1,00000085.wav,6_dB_fan\fan\id_00\abnormal\00000085.wav,10.0,16000,6
86,fan,0,1,00000086.wav,6_dB_fan\fan\id_00\abnormal\00000086.wav,10.0,16000,6
87,fan,0,1,00000087.wav,6_dB_fan\fan\id_00\abnormal\00000087.wav,10.0,16000,6
88,fan,0,1,00000088.wav,6_dB_fan\fan\id_00\abnormal\00000088.wav,10.0,16000,6
89,fan,0,1,00000089.wav,6_dB_fan\fan\id_00\abnormal\00000089.wav,10.0,16000,6
90,fan,0,1,00000090.wav,6_dB_fan\fan\id_00\abnormal\00000090.wav,10.0,16000,6
91,fan,0,1,00000091.wav,6_dB_fan\fan\id_00\abnormal\00000091.wav,10.0,16000,6
92,fan,0,1,00000092.wav,6_dB_fan\fan\id_00\abnormal\00000092.wav,10.0,16000,6
93,fan,0,1,00000093.wav,6_dB_fan\fan\id_00\abnormal\00000093.wav,10.0,16000,6
94,fan,0,1,00000094.wav,6_dB_fan\fan\id_00\abnormal\00000094.wav,10.0,16000,6
95,fan,0,1,00000095.wav,6_dB_fan\fan\id_00\abnormal\00000095.wav,10.0,16000,6
96,fan,0,1,00000096.wav,6_dB_fan\fan\id_00\abnormal\00000096.wav,10.0,16000,6
97,fan,0,1,00000097.wav,6_dB_fan\fan\id_00\abnormal\00000097.wav,10.0,16000,6
98,fan,0,1,00000098.wav,6_dB_fan\fan\id_00\abnormal\00000098.wav,10.0,16000,6
99,fan,0,1,00000099.wav,6_dB_fan\fan\id_00\abnormal\00000099.wav,10.0,16000,6
100,fan,0,1,00000100.wav,6_dB_fan\fan\id_00\abnormal\00000100.wav,10.0,16000,6
101,fan,0,1,00000101.wav,6_dB_fan\fan\id_00\abnormal\00000101.wav,10.0,16000,6
102,fan,0,1,00000102.wav,6_dB_fan\fan\id_00\abnormal\00000102.wav,10.0,16000,6
103,fan,0,1,00000103.wav,6_dB_fan\fan\id_00\abnormal\00000103.wav,10.0,16000,6
104,fan,0,1,00000104.wav,6_dB_fan\fan\id_00\abnormal\00000104.wav,10.0,16000,6
105,fan,0,1,00000105.wav,6_dB_fan\fan\id_00\abnormal\00000105.wav,10.0,16000,6
106,fan,0,1,00000106.wav,6_dB_fan\fan\id_00\abnormal\00000106.wav,10.0,16000,6
107,fan,0,1,00000107.wav,6_dB_fan\fan\id_00\abnormal\00000107.wav,10.0,16000,6
108,fan,0,1,00000108.wav,6_dB_fan\fan\id_00\abnormal\00000108.wav,10.0,16000,6
109,fan,0,1,00000109.wav,6_dB_fan\fan\id_00\abnormal\00000109.wav,10.0,16000,6
110,fan,0,1,00000110.wav,6_dB_fan\fan\id_00\abnormal\00000110.wav,10.0,16000,6
111,fan,0,1,00000111.wav,6_dB_fan\fan\id_00\abnormal\00000111.wav,10.0,16000,6
112,fan,0,1,00000112.wav,6_dB_fan\fan\id_00\abnormal\00000112.wav,10.0,16000,6
113,fan,0,1,00000113.wav,6_dB_fan\fan\id_00\abnormal\00000113.wav,10.0,16000,6
114,fan,0,1,00000114.wav,6_dB_fan\fan\id_00\abnormal\00000114.wav,10.0,16000,6
115,fan,0,1,00000115.wav,6_dB_fan\fan\id_00\abnormal\00000115.wav,10.0,16000,6
116,fan,0,1,00000116.wav,6_dB_fan\fan\id_00\abnormal\00000116.wav,10.0,16000,6
117,fan,0,1,00000117.wav,6_dB_fan\fan\id_00\abnormal\00000117.wav,10.0,16000,6
118,fan,0,1,00000118.wav,6_dB_fan\fan\id_00\abnormal\00000118.wav,10.0,16000,6
119,fan,0,1,00000119.wav,6_dB_fan\fan\id_00\abnormal\00000119.wav,10.0,16000,6
120,fan,0,1,00000120.wav,6_dB_fan\fan\id_00\abnormal\00000120.wav,10.0,16000,6
121,fan,0,1,00000121.wav,6_dB_fan\fan\id_00\abnormal\00000121.wav,10.0,16000,6
122,fan,0,1,00000122.wav,6_dB_fan\fan\id_00\abnormal\00000122.wav,10.0,16000,6
123,fan,0,1,00000123.wav,6_dB_fan\fan\id_00\abnormal\00000123.wav,10.0,16000,6
124,fan,0,1,00000124.wav,6_dB_fan\fan\id_00\abnormal\00000124.wav,10.0,16000,6
125,fan,0,1,00000125.wav,6_dB_fan\fan\id_00\abnormal\00000125.wav,10.0,16000,6
126,fan,0,1,00000126.wav,6_dB_fan\fan\id_00\abnormal\00000126.wav,10.0,16000,6
127,fan,0,1,00000127.wav,6_dB_fan\fan\id_00\abnormal\00000127.wav,10.0,16000,6
128,fan,0,1,00000128.wav,6_dB_fan\fan\id_00\abnormal\00000128.wav,10.0,16000,6
129,fan,0,1,00000129.wav,6_dB_fan\fan\id_00\abnormal\00000129.wav,10.0,16000,6
130,fan,0,1,00000130.wav,6_dB_fan\fan\id_00\abnormal\00000130.wav,10.0,16000,6
131,fan,0,1,00000131.wav,6_dB_fan\fan\id_00\abnormal\00000131.wav,10.0,16000,6
132,fan,0,1,00000132.wav,6_dB_fan\fan\id_00\abnormal\00000132.wav,10.0,16000,6
133,fan,0,1,00000133.wav,6_dB_fan\fan\id_00\abnormal\00000133.wav,10.0,16000,6
134,fan,0,1,00000134.wav,6_dB_fan\fan\id_00\abnormal\00000134.wav,10.0,16000,6
135,fan,0,1,00000135.wav,6_dB_fan\fan\id_00\abnormal\00000135.wav,10.0,16000,6
136,fan,0,1,00000136.wav,6_dB_fan\fan\id_00\abnormal\00000136.wav,10.0,16000,6
137,fan,0,1,00000137.wav,6_dB_fan\fan\id_00\abnormal\00000137.wav,10.0,16000,6
138,fan,0,1,00000138.wav,6_dB_fan\fan\id_00\abnormal\00000138.wav,10.0,16000,6
139,fan,0,1,00000139.wav,6_dB_fan\fan\id_00\abnormal\00000139.wav,10.0,16000,6
140,fan,0,1,00000140.wav,6_dB_fan\fan\id_00\abnormal\00000140.wav,10.0,16000,6
141,fan,0,1,00000141.wav,6_dB_fan\fan\id_00\abnormal\00000141.wav,10.0,16000,6
142,fan,0,1,00000142.wav,6_dB_fan\fan\id_00\abnormal\00000142.wav,10.0,16000,6
143,fan,0,1,00000143.wav,6_dB_fan\fan\id_00\abnormal\00000143.wav,10.0,16000,6
144,fan,0,1,00000144.wav,6_dB_fan\fan\id_00\abnormal\00000144.wav,10.0,16000,6
145,fan,0,1,00000145.wav,6_dB_fan\fan\id_00\abnormal\00000145.wav,10.0,16000,6
146,fan,0,1,00000146.wav,6_dB_fan\fan\id_00\abnormal\00000146.wav,10.0,16000,6
147,fan,0,1,00000147.wav,6_dB_fan\fan\id_00\abnormal\00000147.wav,10.0,16000,6
148,fan,0,1,00000148.wav,6_dB_fan\fan\id_00\abnormal\00000148.wav,10.0,16000,6
149,fan,0,1,00000149.wav,6_dB_fan\fan\id_00\abnormal\00000149.wav,10.0,16000,6
150,fan,0,1,00000150.wav,6_dB_fan\fan\id_00\abnormal\00000150.wav,10.0,16000,6
151,fan,0,1,00000151.wav,6_dB_fan\fan\id_00\abnormal\00000151.wav,10.0,16000,6
152,fan,0,1,00000152.wav,6_dB_fan\fan\id_00\abnormal\00000152.wav,10.0,16000,6
153,fan,0,1,00000153.wav,6_dB_fan\fan\id_00\abnormal\00000153.wav,10.0,16000,6
154,fan,0,1,00000154.wav,6_dB_fan\fan\id_00\abnormal\00000154.wav,10.0,16000,6
155,fan,0,1,00000155.wav,6_dB_fan\fan\id_00\abnormal\00000155.wav,10.0,16000,6
156,fan,0,1,00000156.wav,6_dB_fan\fan\id_00\abnormal\00000156.wav,10.0,16000,6
157,fan,0,1,00000157.wav,6_dB_fan\fan\id_00\abnormal\00000157.wav,10.0,16000,6
158,fan,0,1,00000158.wav,6_dB_fan\fan\id_00\abnormal\00000158.wav,10.0,16000,6
159,fan,0,1,00000159.wav,6_dB_fan\fan\id_00\abnormal\00000159.wav,10.0,16000,6
160,fan,0,1,00000160.wav,6_dB_fan\fan\id_00\abnormal\00000160.wav,10.0,16000,6
161,fan,0,1,00000161.wav,6_dB_fan\fan\id_00\abnormal\00000161.wav,10.0,16000,6
162,fan,0,1,00000162.wav,6_dB_fan\fan\id_00\abnormal\00000162.wav,10.0,16000,6
163,fan,0,1,00000163.wav,6_dB_fan\fan\id_00\abnormal\00000163.wav,10.0,16000,6
164,fan,0,1,00000164.wav,6_dB_fan\fan\id_00\abnormal\00000164.wav,10.0,16000,6
165,fan,0,1,00000165.wav,6_dB_fan\fan\id_00\abnormal\00000165.wav,10.0,16000,6
166,fan,0,1,00000166.wav,6_dB_fan\fan\id_00\abnormal\00000166.wav,10.0,16000,6
167,fan,0,1,00000167.wav,6_dB_fan\fan\id_00\abnormal\00000167.wav,10.0,16000,6
168,fan,0,1,00000168.wav,6_dB_fan\fan\id_00\abnormal\00000168.wav,10.0,16000,6
169,fan,0,1,00000169.wav,6_dB_fan\fan\id_00\abnormal\00000169.wav,10.0,16000,6
170,fan,0,1,00000170.wav,6_dB_fan\fan\id_00\abnormal\00000170.wav,10.0,16000,6
171,fan,0,1,00000171.wav,6_dB_fan\fan\id_00\abnormal\00000171.wav,10.0,16000,6
172,fan,0,1,00000172.wav,6_dB_fan\fan\id_00\abnormal\00000172.wav,10.0,16000,6
173,fan,0,1,00000173.wav,6_dB_fan\fan\id_00\abnormal\00000173.wav,10.0,16000,6
174,fan,0,1,00000174.wav,6_dB_fan\fan\id_00\abnormal\00000174.wav,10.0,16000,6
175,fan,0,1,00000175.wav,6_dB_fan\fan\id_00\abnormal\00000175.wav,10.0,16000,6
176,fan,0,1,00000176.wav,6_dB_fan\fan\id_00\abnormal\00000176.wav,10.0,16000,6
177,fan,0,1,00000177.wav,6_dB_fan\fan\id_00\abnormal\00000177.wav,10.0,16000,6
178,fan,0,1,00000178.wav,6_dB_fan\fan\id_00\abnormal\00000178.wav,10.0,16000,6
179,fan,0,1,00000179.wav,6_dB_fan\fan\id_00\abnormal\00000179.wav,10.0,16000,6
180,fan,0,1,00000180.wav,6_dB_fan\fan\id_00\abnormal\00000180.wav,10.0,16000,6
181,fan,0,1,00000181.wav,6_dB_fan\fan\id_00\abnormal\00000181.wav,10.0,16000,6
182,fan,0,1,00000182.wav,6_dB_fan\fan\id_00\abnormal\00000182.wav,10.0,16000,6
183,fan,0,1,00000183.wav,6_dB_fan\fan\id_00\abnormal\00000183.wav,10.0,16000,6
184,fan,0,1,00000184.wav,6_dB_fan\fan\id_00\abnormal\00000184.wav,10.0,16000,6
185,fan,0,1,00000185.wav,6_dB_fan\fan\id_00\abnormal\00000185.wav,10.0,16000,6
186,fan,0,1,00000186.wav,6_dB_fan\fan\id_00\abnormal\00000186.wav,10.0,16000,6
187,fan,0,1,00000187.wav,6_dB_fan\fan\id_00\abnormal\00000187.wav,10.0,16000,6
188,fan,0,1,00000188.wav,6_dB_fan\fan\id_00\abnormal\00000188.wav,10.0,16000,6
189,fan,0,1,00000189.wav,6_dB_fan\fan\id_00\abnormal\00000189.wav,10.0,16000,6
190,fan,0,1,00000190.wav,6_dB_fan\fan\id_00\abnormal\00000190.wav,10.0,16000,6
191,fan,0,1,00000191.wav,6_dB_fan\fan\id_00\abnormal\00000191.wav,10.0,16000,6
192,fan,0,1,00000192.wav,6_dB_fan\fan\id_00\abnormal\00000192.wav,10.0,16000,6
193,fan,0,1,00000193.wav,6_dB_fan\fan\id_00\abnormal\00000193.wav,10.0,16000,6
194,fan,0,1,00000194.wav,6_dB_fan\fan\id_00\abnormal\00000194.wav,10.0,16000,6
195,fan,0,1,00000195.wav,6_dB_fan\fan\id_00\abnormal\00000195.wav,10.0,16000,6
196,fan,0,1,00000196.wav,6_dB_fan\fan\id_00\abnormal\00000196.wav,10.0,16000,6
197,fan,0,1,00000197.wav,6_dB_fan\fan\id_00\abnormal\00000197.wav,10.0,16000,6
198,fan,0,1,00000198.wav,6_dB_fan\fan\id_00\abnormal\00000198.wav,10.0,16000,6
199,fan,0,1,00000199.wav,6_dB_fan\fan\id_00\abnormal\00000199.wav,10.0,16000,6
200,fan,0,1,00000200.wav,6_dB_fan\fan\id_00\abnormal\00000200.wav,10.0,16000,6
201,fan,0,1,00000201.wav,6_dB_fan\fan\id_00\abnormal\00000201.wav,10.0,16000,6
202,fan,0,1,00000202.wav,6_dB_fan\fan\id_00\abnormal\00000202.wav,10.0,16000,6
203,fan,0,1,00000203.wav,6_dB_fan\fan\id_00\abnormal\00000203.wav,10.0,16000,6
204,fan,0,1,00000204.wav,6_dB_fan\fan\id_00\abnormal\00000204.wav,10.0,16000,6
205,fan,0,1,00000205.wav,6_dB_fan\fan\id_00\abnormal\00000205.wav,10.0,16000,6
206,fan,0,1,00000206.wav,6_dB_fan\fan\id_00\abnormal\00000206.wav,10.0,16000,6
207,fan,0,1,00000207.wav,6_dB_fan\fan\id_00\abnormal\00000207.wav,10.0,16000,6
208,fan,0,1,00000208.wav,6_dB_fan\fan\id_00\abnormal\00000208.wav,10.0,16000,6
209,fan,0,1,00000209.wav,6_dB_fan\fan\id_00\abnormal\00000209.wav,10.0,16000,6
210,fan,0,1,00000210.wav,6_dB_fan\fan\id_00\abnormal\00000210.wav,10.0,16000,6
211,fan,0,1,00000211.wav,6_dB_fan\fan\id_00\abnormal\00000211.wav,10.0,16000,6
212,fan,0,1,00000212.wav,6_dB_fan\fan\id_00\abnormal\00000212.wav,10.0,16000,6
213,fan,0,1,00000213.wav,6_dB_fan\fan\id_00\abnormal\00000213.wav,10.0,16000,6
214,fan,0,1,00000214.wav,6_dB_fan\fan\id_00\abnormal\00000214.wav,10.0,16000,6
215,fan,0,1,00000215.wav,6_dB_fan\fan\id_00\abnormal\00000215.wav,10.0,16000,6
216,fan,0,1,00000216.wav,6_dB_fan\fan\id_00\abnormal\00000216.wav,10.0,16000,6
217,fan,0,1,00000217.wav,6_dB_fan\fan\id_00\abnormal\00000217.wav,10.0,16000,6
218,fan,0,1,00000218.wav,6_dB_fan\fan\id_00\abnormal\00000218.wav,10.0,16000,6
219,fan,0,1,00000219.wav,6_dB_fan\fan\id_00\abnormal\00000219.wav,10.0,16000,6
220,fan,0,1,00000220.wav,6_dB_fan\fan\id_00\abnormal\00000220.wav,10.0,16000,6
221,fan,0,1,00000221.wav,6_dB_fan\fan\id_00\abnormal\00000221.wav,10.0,16000,6
222,fan,0,1,00000222.wav,6_dB_fan\fan\id_00\abnormal\00000222.wav,10.0,16000,6
223,fan,0,1,00000223.wav,6_dB_fan\fan\id_00\abnormal\00000223.wav,10.0,16000,6
224,fan,0,1,00000224.wav,6_dB_fan\fan\id_00\abnormal\00000224.wav,10.0,16000,6
225,fan,0,1,00000225.wav,6_dB_fan\fan\id_00\abnormal\00000225.wav,10.0,16000,6
226,fan,0,1,00000226.wav,6_dB_fan\fan\id_00\abnormal\00000226.wav,10.0,16000,6
227,fan,0,1,00000227.wav,6_dB_fan\fan\id_00\abnormal\00000227.wav,10.0,16000,6
228,fan,0,1,00000228.wav,6_dB_fan\fan\id_00\abnormal\00000228.wav,10.0,16000,6
229,fan,0,1,00000229.wav,6_dB_fan\fan\id_00\abnormal\00000229.wav,10.0,16000,6
230,fan,0,1,00000230.wav,6_dB_fan\fan\id_00\abnormal\00000230.wav,10.0,16000,6
231,fan,0,1,00000231.wav,6_dB_fan\fan\id_00\abnormal\00000231.wav,10.0,16000,6
232,fan,0,1,00000232.wav,6_dB_fan\fan\id_00\abnormal\00000232.wav,10.0,16000,6
233,fan,0,1,00000233.wav,6_dB_fan\fan\id_00\abnormal\00000233.wav,10.0,16000,6
234,fan,0,1,00000234.wav,6_dB_fan\fan\id_00\abnormal\00000234.wav,10.0,16000,6
235,fan,0,1,00000235.wav,6_dB_fan\fan\id_00\abnormal\00000235.wav,10.0,16000,6
236,fan,0,1,00000236.wav,6_dB_fan\fan\id_00\abnormal\00000236.wav,10.0,16000,6
237,fan,0,1,00000237.wav,6_dB_fan\fan\id_00\abnormal\00000237.wav,10.0,16000,6
238,fan,0,1,00000238.wav,6_dB_fan\fan\id_00\abnormal\00000238.wav,10.0,16000,6
239,fan,0,1,00000239.wav,6_dB_fan\fan\id_00\abnormal\00000239.wav,10.0,16000,6
240,fan,0,1,00000240.wav,6_dB_fan\fan\id_00\abnormal\00000240.wav,10.0,16000,6
241,fan,0,1,00000241.wav,6_dB_fan\fan\id_00\abnormal\00000241.wav,10.0,16000,6
242,fan,0,1,00000242.wav,6_dB_fan\fan\id_00\abnormal\00000242.wav,10.0,16000,6
243,fan,0,1,00000243.wav,6_dB_fan\fan\id_00\abnormal\00000243.wav,10.0,16000,6
244,fan,0,1,00000244.wav,6_dB_fan\fan\id_00\abnormal\00000244.wav,10.0,16000,6
245,fan,0,1,00000245.wav,6_dB_fan\fan\id_00\abnormal\00000245.wav,10.0,16000,6
246,fan,0,1,00000246.wav,6_dB_fan\fan\id_00\abnormal\00000246.wav,10.0,16000,6
247,fan,0,1,00000247.wav,6_dB_fan\fan\id_00\abnormal\00000247.wav,10.0,16000,6
248,fan,0,1,00000248.wav,6_dB_fan\fan\id_00\abnormal\00000248.wav,10.0,16000,6
249,fan,0,1,00000249.wav,6_dB_fan\fan\id_00\abnormal\00000249.wav,10.0,16000,6
250,fan,0,1,00000250.wav,6_dB_fan\fan\id_00\abnormal\00000250.wav,10.0,16000,6
251,fan,0,1,00000251.wav,6_dB_fan\fan\id_00\abnormal\00000251.wav,10.0,16000,6
252,fan,0,1,00000252.wav,6_dB_fan\fan\id_00\abnormal\00000252.wav,10.0,16000,6
253,fan,0,1,00000253.wav,6_dB_fan\fan\id_00\abnormal\00000253.wav,10.0,16000,6
254,fan,0,1,00000254.wav,6_dB_fan\fan\id_00\abnormal\00000254.wav,10.0,16000,6
255,fan,0,1,00000255.wav,6_dB_fan\fan\id_00\abnormal\00000255.wav,10.0,16000,6
256,fan,0,1,00000256.wav,6_dB_fan\fan\id_00\abnormal\00000256.wav,10.0,16000,6
257,fan,0,1,00000257.wav,6_dB_fan\fan\id_00\abnormal\00000257.wav,10.0,16000,6
258,fan,0,1,00000258.wav,6_dB_fan\fan\id_00\abnormal\00000258.wav,10.0,16000,6
259,fan,0,1,00000259.wav,6_dB_fan\fan\id_00\abnormal\00000259.wav,10.0,16000,6
260,fan,0,1,00000260.wav,6_dB_fan\fan\id_00\abnormal\00000260.wav,10.0,16000,6
261,fan,0,1,00000261.wav,6_dB_fan\fan\id_00\abnormal\00000261.wav,10.0,16000,6
262,fan,0,1,00000262.wav,6_dB_fan\fan\id_00\abnormal\00000262.wav,10.0,16000,6
263,fan,0,1,00000263.wav,6_dB_fan\fan\id_00\abnormal\00000263.wav,10.0,16000,6
264,fan,0,1,00000264.wav,6_dB_fan\fan\id_00\abnormal\00000264.wav,10.0,16000,6
265,fan,0,1,00000265.wav,6_dB_fan\fan\id_00\abnormal\00000265.wav,10.0,16000,6
266,fan,0,1,00000266.wav,6_dB_fan\fan\id_00\abnormal\00000266.wav,10.0,16000,6
